Legislation Number,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Subject
S. 812,117th Congress (2021-2022),"A bill to direct the Secretary of State to develop a strategy to regain observer status for Taiwan in the World Health Organization, and for other purposes.","Menendez, Robert [Sen.-D-NJ]",Democratic,2021-03-17,World health
S. 796,117th Congress (2021-2022),Protecting Moms Who Served Act of 2021,"Duckworth, Tammy [Sen.-D-IL]",Democratic,2021-03-17,Armed Forces and National Security
S. 789,117th Congress (2021-2022),RESPECT Act,"Rounds, Mike [Sen.-R-SD]",Republican,2021-03-17,Native Americans
S. 658,117th Congress (2021-2022),National Cybersecurity Preparedness Consortium Act of 2021,"Cornyn, John [Sen.-R-TX]",Republican,2021-03-10,"Science, Technology, Communications"
S. 610,117th Congress (2021-2022),Protecting Medicare and American Farmers from Sequester Cuts Act,"Kaine, Tim [Sen.-D-VA]",Democratic,2021-03-04,Health
S. 583,117th Congress (2021-2022),PRICE Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-03-03,Government Operations and Politics
S. 579,117th Congress (2021-2022),A bill to make a technical correction to the ALS Disability Insurance Access Act of 2019.,"Braun, Mike [Sen.-R-IN]",Republican,2021-03-03,Social Welfare
S. 578,117th Congress (2021-2022),FASTER Act of 2021,"Scott, Tim [Sen.-R-SC]",Republican,2021-03-03,Health
S. 566,117th Congress (2021-2022),"A bill to designate the facility of the United States Postal Service located at 42 Main Street in Slatersville, Rhode Island, as the ""Specialist Matthew R. Turcotte Post Office"".","Reed, Jack [Sen.-D-RI]",Democratic,2021-03-03,Government Operations and Politics
S. 558,117th Congress (2021-2022),FLOODS Act,"Wicker, Roger F. [Sen.-R-MS]",Republican,2021-03-03,Public Lands and Natural Resources
S. 516,117th Congress (2021-2022),Advanced Air Mobility Coordination and Leadership Act,"Moran, Jerry [Sen.-R-KS]",Republican,2021-03-01,Transportation and Public Works
S. 497,117th Congress (2021-2022),American Fisheries Advisory Committee Act,"Sullivan, Dan [Sen.-R-AK]",Republican,2021-03-01,Public Lands and Natural Resources
S. 475,117th Congress (2021-2022),Juneteenth National Independence Day Act,"Markey, Edward J. [Sen.-D-MA]",Democratic,2021-02-25,"Civil Rights and Liberties, Minority Issues"
S. 452,117th Congress (2021-2022),Willie O'Ree Congressional Gold Medal Act,"Stabenow, Debbie [Sen.-D-MI]",Democratic,2021-02-25,Sports and Recreation
S. 450,117th Congress (2021-2022),Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021,"Burr, Richard [Sen.-R-NC]",Republican,2021-02-25,"Civil Rights and Liberties, Minority Issues"
S. 442,117th Congress (2021-2022),BRIGHT Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-02-25,Government Operations and Politics
S. 422,117th Congress (2021-2022),Senate Shared Employee Act,"Klobuchar, Amy [Sen.-D-MN]",Democratic,2021-02-24,Congress
S. 415,117th Congress (2021-2022),"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the scope of new chemical exclusivity.","Cassidy, Bill [Sen.-R-LA]",Republican,2021-02-24,Department of Health and Human Services
S. 409,117th Congress (2021-2022),"A bill to provide for the availability of amounts for customer education initiatives and non-awards expenses of the Commodity Futures Trading Commission Whistleblower Program, and for other purposes.","Grassley, Chuck [Sen.-R-IA]",Republican,2021-02-24,Finance and Financial Sector
S. 400,117th Congress (2021-2022),"William T. Coleman, Jr. and Norman Y. Mineta Department of Transportation Headquarters Act","Wicker, Roger F. [Sen.-R-MS]",Republican,2021-02-24,Government Operations and Politics
S. 325,117th Congress (2021-2022),"A bill to amend the Alyce Spotted Bear and Walter Soboleff Commission on Native Children Act to extend the deadline for a report by the Alyce Spotted Bear and Walter Soboleff Commission on Native Children, and for other purposes.","Murkowski, Lisa [Sen.-R-AK]",Republican,2021-02-12,Native Americans
S. 321,117th Congress (2021-2022),"""Six Triple Eight"" Congressional Gold Medal Act of 2021","Moran, Jerry [Sen.-R-KS]",Republican,2021-02-12,Armed Forces and National Security
S. 314,117th Congress (2021-2022),Klamath Tribe Judgment Fund Repeal Act,"Merkley, Jeff [Sen.-D-OR]",Democratic,2021-02-12,Native Americans
S. 272,117th Congress (2021-2022),Congressional Budget Justification Transparency Act of 2021,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-02-08,Executive agency funding and structure
S. 270,117th Congress (2021-2022),Brown v. Board of Education National Historical Park Expansion and Redesignation Act,"Coons, Christopher A. [Sen.-D-DE]",Democratic,2021-02-08,Public Lands and Natural Resources
S. 233,117th Congress (2021-2022),Donna M. Doss Memorial Act of 2021,"Cornyn, John [Sen.-R-TX]",Republican,2021-02-04,Government Operations and Politics
S. 231,117th Congress (2021-2022),PFAS Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,2021-02-04,Emergency Management
S. 198,117th Congress (2021-2022),Data Mapping to Save Moms' Lives Act,"Rosen, Jacky [Sen.-D-NV]",Democratic,2021-02-03,Health
S. 189,117th Congress (2021-2022),Veterans' Compensation Cost-of-Living Adjustment Act of 2021,"Thune, John [Sen.-R-SD]",Republican,2021-02-03,Armed Forces and National Security
S. 169,117th Congress (2021-2022),ARTS Act,"Tillis, Thomas [Sen.-R-NC]",Republican,2021-02-02,Commerce
S. 164,117th Congress (2021-2022),Advancing Education on Biosimilars Act of 2021,"Hassan, Margaret Wood [Sen.-D-NH]",Democratic,2021-02-02,Health
S. 144,117th Congress (2021-2022),Desert Sage Youth Wellness Center Access Improvement Act,"Feinstein, Dianne [Sen.-D-CA]",Democratic,2021-02-01,Minority health
S. 108,117th Congress (2021-2022),"A bill to authorize the Seminole Tribe of Florida to lease or transfer certain land, and for other purposes.","Rubio, Marco [Sen.-R-FL]",Republican,2021-01-28,Florida
S. 66,117th Congress (2021-2022),South Florida Clean Coastal Waters Act of 2021,"Rubio, Marco [Sen.-R-FL]",Republican,2021-01-27,Aquatic ecology
S. 7,117th Congress (2021-2022),VAWA Technical Amendment Act of 2022,"Hirono, Mazie K. [Sen.-D-HI]",Democratic,2022-11-17,Crime and Law Enforcement
S.J.Res. 33,117th Congress (2021-2022),A joint resolution relating to increasing the debt limit,"Schumer, Charles E. [Sen.-D-NY]",Democratic,2021-12-14,Economics and Public Finance
S.J.Res. 15,117th Congress (2021-2022),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to ""National Banks and Federal Savings Associations as Lenders"".","Van Hollen, Chris [Sen.-D-MD]",Democratic,2021-03-25,Finance and Financial Sector
S.J.Res. 14,117th Congress (2021-2022),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review"".","Heinrich, Martin [Sen.-D-NM]",Democratic,2021-03-25,Environmental Protection
S.J.Res. 13,117th Congress (2021-2022),"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to ""Update of Commission's Conciliation Procedures"".","Murray, Patty [Sen.-D-WA]",Democratic,2021-03-23,Labor and Employment
H.R. 8906,116th Congress (2019-2020),Lifespan Respite Care Reauthorization Act of 2020,"Langevin, James R. [Rep.-D-RI-2]",Democratic,2020-12-09,Health
H.R. 8900,116th Congress (2019-2020),"Further Continuing Appropriations Act, 2021, and Other Extensions Act","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-12-08,Economics and Public Finance
H.R. 8810,116th Congress (2019-2020),National Landslide Preparedness Act,"DelBene, Suzan K. [Rep.-D-WA-1]",Democratic,2020-11-24,Floods and storm protection
H.R. 8611,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 4755 Southeast Dixie Highway in Port Salerno, Florida, as the Joseph Bullock Post Office Building.","Mast, Brian J. [Rep.-R-FL-18]",Republican,2020-10-16,"Government buildings, facilities, and property"
H.R. 8472,116th Congress (2019-2020),Impact Aid Coronavirus Relief Act,"Courtney, Joe [Rep.-D-CT-2]",Democratic,2020-10-01,Education
H.R. 8354,116th Congress (2019-2020),Servicemembers and Veterans Initiative Act of 2020,"Escobar, Veronica [Rep.-D-TX-16]",Democratic,2020-09-23,"Civil Rights and Liberties, Minority Issues"
H.R. 8337,116th Congress (2019-2020),"Continuing Appropriations Act, 2021 and Other Extensions Act","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-09-22,Economics and Public Finance
H.R. 8276,116th Congress (2019-2020),To authorize the President to posthumously award the Medal of Honor to Alwyn C. Cashe for acts of valor during Operation Iraqi Freedom.,"Murphy, Stephanie N. [Rep.-D-FL-7]",Democratic,2020-09-16,Armed Forces and National Security
H.R. 8247,116th Congress (2019-2020),Veterans COMPACT Act of 2020,"Takano, Mark [Rep.-D-CA-41]",Democratic,2020-09-14,Armed Forces and National Security
H.R. 7898,116th Congress (2019-2020),"To amend the Health Information Technology for Economic and Clinical Health Act to require the Secretary of Health and Human Services to consider certain recognized security practices of covered entities and business associates when making certain determinations, and for other purposes.","Burgess, Michael C. [Rep.-R-TX-26]",Republican,2020-07-31,Health
H.R. 7810,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 3519 East Walnut Street in Pearland, Texas, as the Tom Reid Post Office Building.","Olson, Pete [Rep.-R-TX-22]",Republican,2020-07-29,"Government buildings, facilities, and property"
H.R. 7502,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 101 South 16th Street in Clarinda, Iowa, as the Jessie Field Shambaugh Post Office Building.","Axne, Cynthia [Rep.-D-IA-3]",Democratic,2020-07-09,"Government buildings, facilities, and property"
H.R. 7460,116th Congress (2019-2020),Peace Corps Commemorative Work Extension Act,"Kennedy, Joseph P., III [Rep.-D-MA-4]",Democratic,2020-07-01,Public Lands and Natural Resources
H.R. 7440,116th Congress (2019-2020),Hong Kong Autonomy Act,"Sherman, Brad [Rep.-D-CA-30]",Democratic,2020-07-01,"Presidents and presidential powers, Vice Presidents"
H.R. 7347,116th Congress (2019-2020),"To designate the medical center of the Department of Veterans Affairs in Ann Arbor, Michigan, as the Lieutenant Colonel Charles S. Kettles Department of Veterans Affairs Medical Center.","Dingell, Debbie [Rep.-D-MI-12]",Democratic,2020-06-25,Armed Forces and National Security
H.R. 7259,116th Congress (2019-2020),Patents for Humanity Program Improvement Act,"McBath, Lucy [Rep.-D-GA-6]",Democratic,2020-06-18,Commerce
H.R. 7105,116th Congress (2019-2020),"Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits Improvement Act of 2020","Levin, Mike [Rep.-D-CA-49]",Democratic,2020-06-04,Armed Forces and National Security
H.R. 7088,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the Senator Jack Hill Post Office Building.","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,2020-06-04,Government Operations and Politics
H.R. 7010,116th Congress (2019-2020),Paycheck Protection Program Flexibility Act of 2020,"Phillips, Dean [Rep.-D-MN-3]",Democratic,2020-05-26,Commerce
H.R. 6535,116th Congress (2019-2020),"To deem an urban Indian organization and employees thereof to be a part of the Public Health Service for the purposes of certain claims for personal injury, and for other purposes.","Gallego, Ruben [Rep.-D-AZ-7]",Democratic,2020-04-17,Native Americans
H.R. 6435,116th Congress (2019-2020),Combating Pandemic Scams Act of 2020,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,2020-04-03,Commerce
H.R. 6418,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the William Jack Jackson Edwards III Post Office Building.","Byrne, Bradley [Rep.-R-AL-1]",Republican,2020-03-31,Alabama
H.R. 6395,116th Congress (2019-2020),"William M. (Mac) Thornberry National 
Defense Authorization Act for Fiscal Year 2021","Smith, Adam [Rep.-D-WA-9]",Democratic,2020-03-26,Alliances
H.R. 6322,116th Congress (2019-2020),Student Veteran Coronavirus Response Act of 2020,"Takano, Mark [Rep.-D-CA-41]",Democratic,2020-03-23,War and emergency powers
H.R. 6237,116th Congress (2019-2020),PRC for Native Veterans Act,"Gallego, Ruben [Rep.-D-AZ-7]",Democratic,2020-03-12,Native Americans
H.R. 6201,116th Congress (2019-2020),Families First Coronavirus Response Act,"Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-03-11,Health
H.R. 6192,116th Congress (2019-2020),1921 Silver Dollar Coin Anniversary Act,"Barr, Andy [Rep.-R-KY-6]",Republican,2020-03-11,Finance and Financial Sector
H.R. 6168,116th Congress (2019-2020),Veterans' Compensation Cost-of-Living Adjustment Act of 2020,"Luria, Elaine G. [Rep.-D-VA-2]",Democratic,2020-03-10,Administrative law and regulatory procedures
H.R. 6161,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the J. Howard Coble Post Office Building.","Walker, Mark [Rep.-R-NC-6]",Republican,2020-03-09,Congressional tributes
H.R. 6100,116th Congress (2019-2020),Strengthening the Opposition to Female Genital Mutilation Act of 2020,"Jackson Lee, Sheila [Rep.-D-TX-18]",Democratic,2020-03-05,Crime and Law Enforcement
H.R. 6074,116th Congress (2019-2020),"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020","Lowey, Nita M. [Rep.-D-NY-17]",Democratic,2020-03-04,Health
H.R. 6016,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the Marc Lee Memorial Post Office Building.","Lesko, Debbie [Rep.-R-AZ-8]",Republican,2020-02-28,Government Operations and Politics
H.R. 5983,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the Woodie Rucker-Hughes Post Office Building.","Takano, Mark [Rep.-D-CA-41]",Democratic,2020-02-26,California
H.R. 5972,116th Congress (2019-2020),Mary Ann Shadd Cary Post Office Dedication Act,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",Democratic,2020-02-26,Congressional tributes
H.R. 5954,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 108 West Maple Street in Holly, Michigan, as the Holly Veterans Memorial Post Office.","Slotkin, Elissa [Rep.-D-MI-8]",Democratic,2020-02-25,Michigan
H.R. 5901,116th Congress (2019-2020),Information Technology Modernization Centers of Excellence Program Act,"Khanna, Ro [Rep.-D-CA-17]",Democratic,2020-02-13,Government Operations and Politics
H.R. 5852,116th Congress (2019-2020),Weir Farm National Historical Park Redesignation Act,"Himes, James A. [Rep.-D-CT-4]",Democratic,2020-02-11,Public Lands and Natural Resources
H.R. 5671,116th Congress (2019-2020),Merchant Mariners of World War II Congressional Gold Medal Act of 2020,"Garamendi, John [Rep.-D-CA-3]",Democratic,2020-01-24,Armed Forces and National Security
H.R. 5663,116th Congress (2019-2020),Safeguarding Therapeutics Act,"Guthrie, Brett [Rep.-R-KY-2]",Republican,2020-01-21,Health
H.R. 5597,116th Congress (2019-2020),"To designate the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the Clara Luper Post Office Building.","Horn, Kendra S. [Rep.-D-OK-5]",Democratic,2020-01-14,Congressional tributes
